,expId,Compound,tempNLSDf
20,2,Flumazenil,345.7528<>393.0908<>420.4726<>462.2414<>500.7615<>511.4357<>563.4147<>591.7247<>645.0959<>692.4339<>717.4952<>749.5179<>778.756<>841.8734<>846.0502<>830.2709<>774.1151<>794.9995<>825.1658<>835.8401<>792.679<>846.9785<>833.0555<>915.6649<>920.3058
21,2,GDC-0879,277.5305<>298.879<>348.0733<>386.5934<>419.0803<>465.026<>496.1205<>537.4252<>576.4094<>615.3936<>658.5547<>717.0311<>732.3463<>767.6177<>766.6895<>761.5844<>802.425<>784.7893<>783.8611<>798.2482<>801.0328<>822.8453<>878.073<>952.3286<>936.5493
22,2,Granisetron HCl,340.1837<>372.2064<>411.1906<>450.1748<>473.8438<>489.1591<>553.2045<>583.835<>624.6756<>670.6213<>729.0976<>738.3796<>746.2692<>785.2534<>776.8997<>816.348<>789.4303<>794.5354<>831.1991<>789.8944<>795.9277<>776.4355<>797.7841<>885.9626<>870.6474
23,2,4mu8C,287.2765<>323.9402<>358.7476<>381.4884<>408.8701<>425.1136<>456.6722<>472.4515<>490.0872<>523.5023<>542.0662<>567.1275<>598.6861<>612.145<>612.145<>576.8735<>562.0224<>539.2816<>508.6512<>488.6949<>471.9874<>487.7668<>501.6897<>562.0224<>532.7842
24,2,RG2833 (RGFP109),348.5374<>351.322<>357.8194<>354.5707<>358.7476<>345.2887<>314.6583<>240.4026<>165.2188<>111.3835<>87.71448<>71.93516<>49.19436<>28.77406<>16.70752<>12.99474<>8.35376<>6.033271<>6.033271<>5.105075<>3.248684<>3.248684<>2.784587<>0.9281955<>0.9281955
25,2,SGX-523,309.5532<>300.7354<>323.4761<>339.7196<>345.2887<>348.5374<>357.8194<>351.322<>349.9297<>347.6092<>341.1118<>326.7248<>319.7634<>323.9402<>308.1609<>293.3098<>281.2433<>264.5357<>272.4254<>265.4639<>261.287<>251.541<>245.9718<>222.7669<>228.8002
26,2,Losartan Potassium (DuP 753),293.7739<>287.7406<>300.2713<>306.7686<>312.3378<>301.1995<>310.4814<>288.2047<>277.5305<>257.1102<>247.8282<>232.0489<>219.9823<>229.7284<>223.6951<>214.8773<>212.0927<>199.0979<>207.9158<>197.2415<>192.1365<>188.4237<>184.7109<>182.3904<>184.7109
27,2,Everolimus (RAD001),275.21<>265.928<>277.5305<>300.2713<>312.8019<>313.266<>335.0786<>343.8965<>363.3885<>375.9192<>389.8421<>400.9805<>407.4778<>415.8316<>415.3675<>423.7213<>439.5006<>428.3622<>421.8649<>416.7598<>405.1573<>410.2624<>421.4008<>431.1468<>419.5444
28,2,Acitretin,285.4201<>289.597<>310.0173<>331.3658<>360.604<>379.1679<>411.6547<>427.8981<>434.8596<>444.6057<>454.3517<>451.103<>463.1696<>453.4235<>449.2466<>439.9647<>399.1241<>358.7476<>348.5374<>317.4429<>265.928<>259.4307<>239.9386<>253.3974<>239.0103
29,2,AT9283,303.0558<>301.6635<>299.8072<>295.1662<>279.3869<>244.1154<>224.1592<>177.7495<>148.9754<>119.7372<>96.53233<>67.75828<>51.51485<>44.08929<>29.23816<>27.84587<>25.06128<>22.27669<>19.9562<>14.38703<>15.31523<>11.13835<>9.746053<>11.13835<>10.67425
30,2,Lopinavir,275.6741<>282.1714<>311.8737<>356.4271<>375.9192<>410.7265<>444.1416<>463.1696<>491.9436<>526.751<>553.6686<>587.5478<>600.0784<>594.0452<>598.222<>611.6808<>616.7859<>637.6703<>655.7701<>677.1187<>671.5495<>715.1747<>749.0538<>795.4636<>807.066
31,2,Ivacaftor (VX-770),267.7844<>285.4201<>308.1609<>345.7528<>377.7756<>420.4726<>435.3237<>465.026<>510.5075<>528.1432<>568.0557<>620.4987<>641.3831<>647.4164<>639.9908<>658.5547<>645.0959<>639.5267<>688.257<>654.3779<>692.4339<>709.6055<>713.7823<>748.5897<>766.2254
32,2,Ondansetron HCl,341.1118<>373.1346<>428.3622<>465.026<>493.3359<>527.2151<>558.3096<>581.9786<>603.7912<>644.6318<>706.3568<>761.1204<>779.6843<>766.6895<>788.5021<>732.3463<>767.6177<>763.4409<>757.8716<>735.1309<>745.341<>809.3865<>776.4355<>858.5809<>865.0782
33,2,S3I-201,361.0681<>380.5602<>437.1801<>467.3465<>497.9769<>545.779<>582.9068<>636.278<>666.4444<>703.5722<>737.4514<>764.369<>770.8664<>749.982<>751.3743<>733.2745<>725.3848<>765.7613<>765.2972<>791.7508<>801.0328<>782.9329<>792.679<>820.989<>850.6912
34,2,Tenofovir Disoproxil Fumarate,313.266<>344.8246<>391.6985<>412.5829<>452.0312<>474.772<>514.6844<>543.4585<>577.3376<>609.3604<>645.56<>671.5495<>699.8594<>710.0696<>702.644<>688.7211<>708.2132<>686.4006<>737.9155<>716.1028<>720.2797<>738.3796<>756.9435<>843.7297<>829.8068
35,2,ABT-751 (E7010),311.8737<>293.7739<>290.5252<>292.3816<>272.4254<>273.3536<>272.4254<>256.182<>224.1592<>216.7337<>202.8107<>198.6339<>192.1365<>190.7442<>184.7109<>172.1803<>161.506<>154.0805<>153.6164<>134.5883<>122.0577<>118.3449<>107.6707<>104.8861<>88.17857
36,2,Clopidogrel,286.8124<>323.0121<>336.4709<>380.0961<>401.9087<>411.1906<>455.744<>482.1976<>512.8281<>529.0715<>560.166<>588.0119<>599.6143<>603.7912<>607.504<>604.2553<>590.7964<>599.6143<>603.3271<>582.9068<>603.3271<>662.2675<>654.3779<>718.8875<>742.5565
37,2,WZ4002,318.8352<>326.2607<>350.3938<>368.9577<>386.1293<>400.5164<>427.8981<>437.6442<>458.5286<>456.2081<>462.2414<>475.2361<>485.4463<>497.0487<>491.0154<>473.3797<>463.1696<>464.0978<>467.8105<>442.7493<>441.357<>452.0312<>470.131<>510.9716<>517.469
38,2,Tianeptine sodium,303.5199<>342.0401<>386.1293<>417.688<>452.0312<>498.441<>516.0767<>534.1765<>562.4865<>611.2167<>652.5215<>663.6598<>697.0748<>691.5057<>696.1467<>666.9085<>671.5495<>636.278<>640.919<>660.4111<>656.2343<>685.4724<>711.926<>805.2097<>774.5792
