,expId,Compound,tempConfluenceDf
20,2,Flumazenil,49.70878<>51.44313<>57.09142<>64.4677<>67.12283<>72.39514<>80.3022<>85.70747<>91.06618<>95.23506<>96.62418<>97.52921<>98.04907<>99.05006<>99.07576<>99.21612<>99.36698<>99.3904<>99.55735<>99.5443<>99.51439<>99.75173<>99.77059<>99.77294<>99.95033
21,2,GDC-0879,42.20449<>45.63992<>50.7255<>56.03959<>59.80437<>67.02523<>73.37309<>78.63664<>85.80487<>88.56004<>92.00562<>95.79672<>96.54771<>98.0736<>98.83115<>98.75413<>99.16106<>99.34667<>99.39385<>99.68487<>99.49346<>99.62712<>99.72617<>99.86163<>99.84713
22,2,Granisetron HCl,49.2146<>50.67148<>55.95104<>60.66879<>64.86198<>66.4931<>74.86406<>79.44898<>86.41466<>89.53497<>93.23089<>94.87463<>95.91891<>96.00692<>96.18879<>97.26873<>97.36723<>98.07905<>98.62897<>98.34632<>98.60928<>99.14931<>99.01166<>98.32298<>99.38853
23,2,4mu8C,45.53216<>46.68987<>50.56641<>54.95171<>61.34816<>66.56043<>70.74697<>76.09657<>80.68564<>87.92799<>90.68253<>93.09232<>93.43038<>94.25266<>94.3482<>93.49207<>93.01778<>92.11613<>91.43587<>91.14921<>91.20261<>92.21478<>92.15607<>93.69501<>93.25134
24,2,RG2833 (RGFP109),48.28001<>48.98216<>51.68747<>53.4774<>55.98628<>56.10239<>55.11515<>52.50774<>45.83271<>39.27312<>35.22831<>34.1903<>32.77989<>32.49005<>30.91719<>31.16095<>30.43822<>29.24126<>29.45443<>29.06988<>28.43584<>28.25887<>28.14724<>28.30335<>27.69189
25,2,SGX-523,44.71113<>44.33334<>48.67741<>51.29995<>53.84892<>54.50694<>54.60861<>54.05436<>55.13096<>55.2676<>54.67051<>55.20563<>54.21846<>56.0101<>55.64725<>54.48304<>55.4836<>52.64948<>53.09861<>52.23378<>52.18086<>51.29191<>50.78525<>47.30182<>48.80817
26,2,Losartan Potassium (DuP 753),41.81393<>42.97239<>47.78597<>51.27977<>53.23995<>49.93472<>49.38853<>47.65845<>47.27432<>47.01487<>45.46425<>44.00675<>44.09178<>45.0275<>45.14422<>45.69615<>45.29252<>42.40488<>45.29557<>44.01628<>43.88698<>43.61544<>43.22847<>41.47533<>42.3177
27,2,Everolimus (RAD001),38.74328<>42.22494<>44.94251<>47.58606<>50.49623<>51.81197<>53.72375<>55.36237<>57.51685<>61.31063<>65.89454<>69.18863<>72.20152<>73.8505<>76.49329<>77.8319<>80.16164<>79.45795<>80.45155<>79.74123<>78.39488<>80.53664<>80.22055<>79.81266<>80.34275
28,2,Acitretin,38.75842<>40.7177<>45.58383<>49.67749<>52.75116<>55.84529<>62.67506<>65.87222<>69.26598<>75.01147<>78.85796<>82.08492<>81.98613<>81.69511<>80.07467<>79.56979<>76.36003<>74.43536<>73.22121<>69.81502<>69.51031<>68.59167<>67.25768<>66.55481<>65.29998
29,2,AT9283,37.7926<>34.90205<>34.43827<>32.94451<>31.2741<>29.98639<>29.63259<>27.75414<>26.54343<>25.98861<>25.10002<>24.26785<>23.50815<>22.98346<>22.33718<>21.83887<>21.82886<>21.86001<>21.70804<>21.29034<>21.45937<>21.24882<>21.09292<>22.16968<>21.72717
30,2,Lopinavir,43.00999<>45.3695<>49.60267<>55.96416<>57.81408<>62.31564<>68.52861<>73.39634<>79.22048<>82.68719<>85.86813<>88.98271<>90.57954<>91.06176<>91.86186<>92.77775<>94.50443<>95.7543<>96.42849<>97.60305<>98.06538<>98.32745<>99.00212<>98.83945<>99.12514
