,expId,Compound,tempSytoxDf
20,2,Flumazenil,1.856391<>3.712782<>3.712782<>2.784587<>2.320489<>8.35376<>7.425564<>5.569173<>6.033271<>12.99474<>24.59718<>45.48158<>74.71974<>119.7372<>170.788<>227.4079<>314.6583<>355.963<>431.1468<>478.0207<>513.7562<>494.7282<>522.11<>545.3149<>566.1993
21,2,GDC-0879,15.31523<>15.77932<>19.02801<>12.06654<>6.033271<>8.35376<>9.746053<>7.889662<>10.21015<>14.85113<>18.56391<>30.16636<>51.51485<>89.57087<>132.732<>190.2801<>245.5077<>323.0121<>384.7371<>407.4778<>449.2466<>480.3412<>500.2974<>515.1485<>526.751
22,2,Granisetron HCl,7.889662<>6.961466<>10.67425<>7.889662<>7.425564<>8.35376<>7.425564<>8.817858<>12.99474<>19.02801<>28.77406<>54.76354<>83.5376<>142.9421<>193.5288<>245.5077<>306.3045<>345.2887<>437.1801<>479.8771<>520.2536<>558.7737<>583.835<>565.7352<>596.8297
23,2,4mu8C,13.92293<>12.53064<>14.85113<>9.746053<>8.817858<>8.35376<>7.889662<>9.746053<>13.92293<>19.49211<>27.38177<>44.55339<>73.79154<>116.9526<>173.1085<>245.9718<>303.0558<>335.0786<>399.5882<>443.6775<>491.4795<>510.0435<>528.6074<>531.856<>536.497
24,2,RG2833 (RGFP109),8.35376<>7.425564<>13.45884<>11.60244<>13.92293<>28.77406<>58.47632<>120.6654<>247.3641<>324.4043<>366.6372<>395.8754<>412.1188<>416.2957<>414.4393<>419.5444<>426.5059<>424.1854<>426.5059<>414.9034<>410.2624<>413.5111<>401.9087<>378.7038<>386.5934
25,2,SGX-523,24.59718<>24.59718<>28.30996<>24.13308<>24.13308<>30.63045<>45.48158<>59.86861<>66.36598<>80.75301<>91.42726<>106.2784<>120.6654<>131.8038<>139.6934<>152.6882<>157.7932<>174.5008<>161.506<>163.8265<>173.1085<>188.4237<>199.0979<>181.9263<>210.7004
26,2,Losartan Potassium (DuP 753),13.92293<>14.85113<>19.9562<>18.56391<>21.8126<>39.91241<>66.36598<>89.10677<>111.8476<>131.3397<>146.1908<>163.8265<>174.9649<>180.0699<>178.2135<>180.534<>176.3571<>158.2573<>165.2188<>166.147<>170.788<>166.147<>164.2906<>130.8756<>147.5831
27,2,Everolimus (RAD001),20.4203<>19.49211<>28.30996<>18.09981<>15.31523<>14.38703<>14.38703<>17.17162<>16.70752<>17.17162<>13.45884<>14.85113<>16.70752<>19.02801<>25.52538<>28.30996<>30.63045<>54.76354<>60.33271<>70.54286<>77.96842<>88.64268<>112.3117<>145.2626<>150.3677
28,2,Acitretin,33.41504<>31.09455<>34.34324<>27.38177<>22.74079<>23.66899<>18.09981<>17.63572<>20.4203<>31.09455<>39.91241<>50.58666<>76.11204<>96.99644<>130.4115<>185.175<>222.3028<>265.4639<>307.2327<>339.2555<>368.0295<>386.5934<>398.66<>398.66<>390.7703
29,2,AT9283,8.817858<>13.45884<>18.09981<>29.70226<>64.04549<>99.31693<>147.119<>182.8545<>233.9053<>258.9666<>279.3869<>280.3151<>271.0331<>260.3589<>245.5077<>226.0156<>214.8773<>199.562<>175.8931<>162.4342<>150.3677<>136.4447<>125.7705<>122.5218<>105.3502
30,2,Lopinavir,17.63572<>14.85113<>17.17162<>8.817858<>8.817858<>8.817858<>9.281956<>13.45884<>17.17162<>13.92293<>19.02801<>23.66899<>39.44831<>62.1891<>84.00169<>102.5656<>135.5166<>178.2135<>202.8107<>214.8773<>244.5795<>256.182<>254.7897<>321.6198<>298.4149
31,2,Ivacaftor (VX-770),14.38703<>19.02801<>14.38703<>7.425564<>6.033271<>6.497369<>5.569173<>6.961466<>9.281956<>11.60244<>10.67425<>16.24342<>28.30996<>39.44831<>67.75828<>99.78102<>144.3344<>197.7056<>252.4692<>272.8895<>316.9788<>380.5602<>403.301<>464.5619<>450.6389
32,2,Ondansetron HCl,4.640978<>6.497369<>4.640978<>4.640978<>6.961466<>7.889662<>8.35376<>6.497369<>9.281956<>12.99474<>19.02801<>26.91767<>43.62519<>82.60941<>122.9859<>164.7547<>219.9823<>277.0664<>332.294<>373.1346<>407.0137<>426.9699<>427.8981<>452.9594<>456.6722
33,2,S3I-201,5.569173<>9.281956<>12.53064<>13.45884<>7.889662<>9.281956<>16.24342<>21.8126<>22.74079<>31.09455<>39.91241<>55.22763<>74.71974<>115.0962<>161.0419<>219.9823<>271.0331<>307.6968<>355.963<>376.8474<>407.0137<>409.7983<>438.5724<>445.998<>455.744
34,2,Tenofovir Disoproxil Fumarate,14.85113<>17.17162<>14.38703<>13.92293<>8.35376<>10.21015<>7.425564<>7.889662<>10.21015<>12.06654<>21.3485<>28.77406<>51.51485<>83.0735<>120.6654<>171.2521<>244.5795<>265.4639<>313.266<>342.9683<>381.9525<>395.8754<>403.301<>424.6494<>421.4008
35,2,ABT-751 (E7010),6.033271<>5.569173<>8.35376<>5.105075<>12.53064<>21.8126<>47.80207<>75.18384<>108.1348<>133.1961<>153.1523<>159.1855<>170.788<>174.0367<>189.816<>201.4184<>207.4517<>203.7389<>222.3028<>217.6618<>224.6233<>231.5848<>235.7617<>232.0489<>236.6899
36,2,Clopidogrel,8.817858<>7.425564<>5.569173<>2.784587<>1.392293<>2.320489<>3.248684<>1.856391<>2.320489<>6.033271<>12.99474<>30.63045<>53.37124<>77.96842<>116.4885<>173.1085<>208.844<>236.6899<>267.3203<>289.1329<>332.7581<>342.5042<>340.6478<>345.7528<>357.8194
37,2,WZ4002,5.569173<>3.248684<>5.569173<>5.569173<>3.248684<>6.033271<>5.569173<>6.961466<>10.21015<>14.85113<>22.74079<>26.45357<>37.59192<>58.47632<>96.53233<>139.6934<>187.4955<>188.8878<>227.872<>241.7949<>257.5742<>258.5025<>271.0331<>271.0331<>277.0664
38,2,Tianeptine sodium,1.856391<>2.320489<>1.856391<>4.17688<>6.033271<>8.35376<>9.746053<>10.21015<>19.02801<>17.17162<>23.66899<>37.12782<>63.58139<>90.03497<>141.5498<>192.6006<>248.7564<>296.5585<>354.1066<>338.3273<>355.963<>362.9245<>383.3448<>371.2782<>382.4166
39,2,Danoprevir (ITMN-191),1.856391<>1.392293<>0.9281955<>0.9281955<>2.784587<>0.4640978<>3.248684<>5.105075<>5.105075<>7.889662<>6.497369<>10.21015<>18.56391<>23.20489<>44.08929<>79.82481<>132.732<>193.5288<>246.9<>283.0996<>319.2993<>352.7143<>375.9192<>378.7038<>422.7931
40,2,Ziprasidone HCl,3.248684<>2.784587<>3.248684<>5.105075<>5.105075<>4.640978<>5.569173<>6.961466<>13.92293<>16.24342<>32.02275<>46.40978<>69.61466<>108.1348<>129.0192<>161.0419<>197.7056<>235.7617<>275.21<>295.6303<>322.5479<>368.0295<>406.5497<>435.3237<>428.8263
41,2,Thalidomide,4.640978<>5.105075<>7.425564<>3.712782<>2.320489<>4.17688<>3.712782<>10.21015<>9.281956<>12.99474<>18.09981<>24.59718<>36.19963<>71.00696<>105.3502<>172.1803<>232.9771<>277.0664<>314.6583<>319.7634<>336.4709<>359.2117<>381.0243<>406.5497<>386.1293
42,2,Cilomilast,5.105075<>4.640978<>4.640978<>3.248684<>2.320489<>4.17688<>5.569173<>9.746053<>19.49211<>18.09981<>21.8126<>26.91767<>39.91241<>73.32745<>122.0577<>191.2083<>234.8335<>266.8562<>340.1837<>368.9577<>379.632<>392.1626<>408.406<>439.0365<>419.5444
43,2,Dimesna,10.67425<>13.92293<>9.746053<>5.569173<>3.712782<>4.17688<>6.961466<>5.569173<>9.746053<>16.70752<>22.74079<>32.95094<>48.73027<>81.21711<>108.5989<>157.7932<>223.231<>279.851<>321.6198<>337.8632<>366.1731<>389.378<>409.7983<>421.4008<>432.075
44,2,Moxifloxacin HCl,8.35376<>8.817858<>7.889662<>7.425564<>3.712782<>5.569173<>8.817858<>14.85113<>22.27669<>24.13308<>34.80733<>58.01222<>103.0297<>159.6496<>212.0927<>297.0226<>379.632<>407.0137<>481.7335<>519.7895<>546.7072<>561.0942<>587.0837<>588.476<>582.9068
45,2,Methotrexate,5.569173<>8.35376<>9.281956<>6.497369<>4.17688<>7.889662<>7.425564<>7.425564<>7.889662<>14.38703<>21.3485<>40.8406<>88.64268<>116.9526<>186.1032<>247.3641<>298.879<>383.3448<>426.9699<>442.2852<>451.103<>477.5566<>476.6284<>503.5461<>490.0872
46,2,Pimasertib (AS-703026),16.70752<>15.31523<>13.45884<>9.746053<>7.889662<>6.033271<>12.06654<>13.45884<>18.56391<>22.27669<>51.05075<>90.03497<>144.7985<>210.2363<>258.9666<>307.6968<>342.5042<>399.1241<>413.047<>430.2186<>430.2186<>439.0365<>421.8649<>439.5006<>420.4726
47,2,JIB-04,11.13835<>10.67425<>12.06654<>7.425564<>2.320489<>3.248684<>4.17688<>8.35376<>9.281956<>10.21015<>12.06654<>20.4203<>32.02275<>54.29944<>91.42726<>140.6216<>181.4622<>251.541<>310.4814<>373.1346<>424.1854<>468.2747<>492.8718<>532.3201<>547.1713
48,2,STF-118804,6.961466<>6.497369<>9.746053<>8.817858<>9.281956<>12.99474<>10.21015<>10.21015<>12.06654<>20.8844<>42.2329<>93.74775<>148.0472<>185.6391<>261.287<>313.266<>357.3553<>402.3728<>451.103<>470.131<>478.9489<>490.0872<>498.9051<>542.0662<>509.1153
49,2,ABT-737,22.27669<>24.59718<>24.59718<>17.63572<>9.281956<>10.67425<>10.21015<>8.817858<>16.70752<>21.3485<>26.91767<>38.98421<>59.40451<>119.2731<>187.9596<>245.5077<>290.9893<>323.9402<>370.8141<>375.4551<>412.1188<>449.7107<>443.2134<>452.0312<>456.2081
50,2,YM201636,25.52538<>19.02801<>26.91767<>17.63572<>10.67425<>12.06654<>12.99474<>11.13835<>17.63572<>18.09981<>17.63572<>21.3485<>25.06128<>30.16636<>45.01748<>58.01222<>82.1453<>76.57613<>98.85282<>124.3782<>137.3729<>144.3344<>141.0857<>169.3957<>172.1803
51,2,Nintedanib (BIBF 1120),13.92293<>10.67425<>12.99474<>10.67425<>10.67425<>8.35376<>11.60244<>13.92293<>16.70752<>27.84587<>50.12256<>94.67594<>126.6987<>195.8493<>230.6566<>256.182<>287.2765<>287.7406<>290.5252<>277.9946<>278.9228<>264.9998<>249.2205<>213.485<>199.0979
52,2,Raloxifene HCl,19.02801<>19.02801<>21.8126<>20.4203<>12.99474<>9.746053<>10.67425<>11.13835<>12.06654<>14.85113<>18.09981<>25.98948<>35.73553<>59.40451<>91.42726<>135.5166<>178.6776<>241.7949<>261.7511<>273.3536<>317.4429<>315.1224<>322.0839<>348.5374<>350.8579
53,2,Dasatinib,6.961466<>6.033271<>6.961466<>7.889662<>12.06654<>26.91767<>33.87914<>59.86861<>90.03497<>130.8756<>168.0034<>246.4359<>302.5917<>322.0839<>341.576<>342.0401<>315.5865<>300.7354<>231.1207<>171.7162<>137.3729<>110.4553<>90.03497<>82.1453<>56.61993
54,2,Vincristine,25.06128<>24.59718<>30.16636<>21.3485<>19.02801<>16.70752<>34.80733<>64.50959<>90.49906<>123.45<>148.9754<>161.506<>187.0314<>199.562<>209.7722<>205.1312<>193.5288<>191.2083<>188.8878<>179.6058<>177.2854<>181.4622<>179.1417<>185.6391<>162.4342
55,2,Nilotinib (AMN-107),17.17162<>15.77932<>16.70752<>12.99474<>15.31523<>20.8844<>27.38177<>33.87914<>44.55339<>41.3047<>46.40978<>46.40978<>58.01222<>66.36598<>83.0735<>89.10677<>107.2066<>126.6987<>147.119<>144.3344<>145.2626<>157.3291<>157.7932<>154.5446<>173.5726
56,2,Entecavir Hydrate,3.248684<>5.105075<>6.497369<>3.712782<>6.497369<>10.21015<>7.889662<>7.425564<>6.497369<>8.35376<>14.85113<>22.27669<>35.27143<>57.08403<>84.00169<>121.5936<>158.7214<>236.2258<>260.8229<>286.3483<>306.3045<>329.9735<>347.1451<>381.4884<>394.019
57,2,Sunitinib Malate,150.8318<>165.2188<>199.0979<>221.3746<>279.851<>311.4096<>367.1013<>347.6092<>369.8859<>372.6705<>409.7983<>418.6162<>432.075<>419.5444<>399.5882<>377.7756<>381.4884<>352.7143<>347.1451<>326.2607<>296.5585<>286.3483<>284.4919<>277.5305<>244.5795
58,2,Avagacestat (BMS-708163),0.9281955<>1.392293<>2.320489<>2.784587<>4.640978<>7.425564<>10.67425<>8.817858<>8.817858<>11.60244<>22.27669<>28.30996<>44.55339<>73.79154<>102.5656<>142.478<>179.1417<>242.7231<>269.1767<>276.1382<>316.0506<>341.1118<>352.7143<>342.9683<>389.378
59,2,Elesclomol (STA-4783),2.320489<>2.784587<>1.856391<>2.784587<>3.712782<>3.248684<>3.712782<>6.961466<>11.13835<>12.06654<>16.70752<>23.66899<>42.2329<>60.33271<>100.2451<>146.1908<>192.6006<>237.154<>276.6023<>297.4867<>328.1171<>350.8579<>349.9297<>376.3833<>372.2064
60,2,Altretamine,9.281956<>11.13835<>13.92293<>7.889662<>5.105075<>6.033271<>5.105075<>9.281956<>12.99474<>15.77932<>19.49211<>30.63045<>56.61993<>99.78102<>158.2573<>196.7775<>239.0103<>266.3921<>310.4814<>319.7634<>337.8632<>347.1451<>361.0681<>394.9472<>384.7371
61,2,GDC-0941,6.497369<>6.497369<>5.569173<>13.92293<>21.8126<>32.02275<>37.59192<>50.58666<>59.86861<>67.75828<>69.15057<>80.28892<>83.5376<>84.92989<>90.03497<>96.53233<>104.422<>116.0244<>111.8476<>112.7758<>113.704<>116.0244<>113.704<>104.8861<>106.2784
62,2,Bumetanide,7.425564<>5.569173<>6.961466<>5.569173<>3.712782<>5.569173<>4.640978<>7.889662<>7.889662<>11.13835<>13.45884<>22.27669<>40.37651<>69.61466<>117.4167<>161.0419<>204.6671<>264.5357<>294.7021<>331.3658<>340.1837<>343.4323<>366.6372<>386.5934<>387.5216
63,2,SB216763,12.53064<>12.53064<>12.06654<>14.85113<>12.99474<>20.8844<>25.98948<>24.13308<>23.20489<>32.02275<>37.12782<>50.58666<>67.75828<>109.5271<>132.732<>165.2188<>202.3466<>237.6181<>319.2993<>344.3605<>367.1013<>378.2397<>391.6985<>431.1468<>432.075
