,expId,Compound,tempSytoxDf
308,2,Ginkgolide B,13.45884<>12.53064<>10.67425<>9.746053<>7.889662<>7.425564<>6.961466<>7.425564<>8.817858<>12.06654<>17.17162<>18.56391<>34.34324<>63.58139<>107.2066<>153.6164<>203.7389<>246.4359<>277.0664<>308.1609<>326.2607<>353.6425<>356.4271<>374.991<>370.35
309,2,Varespladib (LY315920),23.66899<>20.8844<>22.74079<>14.38703<>9.281956<>7.889662<>13.45884<>13.45884<>12.53064<>14.85113<>13.45884<>28.30996<>53.37124<>74.71974<>103.0297<>148.0472<>205.1312<>245.5077<>297.4867<>300.7354<>315.5865<>335.5427<>348.5374<>356.8912<>370.35
310,2,Lidocaine,36.66372<>33.41504<>36.19963<>20.8844<>16.24342<>13.45884<>13.92293<>13.45884<>19.02801<>20.4203<>28.77406<>41.7688<>58.94042<>90.03497<>147.119<>205.1312<>258.0384<>276.1382<>325.7966<>348.0733<>374.0628<>369.8859<>378.2397<>367.1013<>404.6933
311,2,Empty,10.21015<>9.746053<>11.60244<>6.033271<>7.425564<>8.817858<>9.281956<>8.35376<>8.35376<>11.13835<>15.31523<>25.06128<>47.80207<>85.39399<>119.7372<>158.7214<>205.5953<>271.9613<>312.8019<>342.5042<>368.0295<>399.5882<>414.9034<>417.2239<>445.5338
312,2,Empty,13.45884<>13.92293<>13.45884<>8.35376<>6.033271<>6.497369<>11.60244<>12.06654<>11.13835<>15.77932<>27.84587<>44.08929<>63.58139<>103.4938<>152.2241<>215.3414<>263.1434<>283.0996<>363.3885<>390.7703<>428.8263<>431.6109<>452.4953<>429.7545<>452.4953
313,2,XL147,20.8844<>19.49211<>19.02801<>21.3485<>23.20489<>24.59718<>32.95094<>44.08929<>64.50959<>76.57613<>97.92463<>116.0244<>135.5166<>168.4675<>213.9491<>271.0331<>319.7634<>379.1679<>414.4393<>457.1363<>472.4515<>477.0925<>475.2361<>497.0487<>504.9384
314,2,BMS-707035,18.09981<>19.02801<>19.9562<>11.13835<>5.105075<>6.961466<>7.889662<>7.889662<>7.889662<>11.13835<>15.31523<>26.45357<>53.83534<>68.22237<>105.3502<>141.5498<>196.3134<>232.513<>273.3536<>287.7406<>311.4096<>337.8632<>352.2502<>355.0348<>357.8194
315,2,INO-1001,26.45357<>27.38177<>31.09455<>18.56391<>12.53064<>11.13835<>12.53064<>10.67425<>10.67425<>12.99474<>16.24342<>30.63045<>33.87914<>62.1891<>104.422<>138.3011<>171.2521<>200.0261<>241.3308<>275.6741<>276.1382<>286.8124<>293.3098<>299.8072<>329.5094
316,2,Ruxolitinib (INCB018424),29.23816<>27.84587<>27.38177<>16.70752<>11.60244<>6.033271<>4.640978<>4.640978<>8.35376<>11.13835<>12.99474<>16.24342<>23.66899<>42.69699<>58.94042<>85.85809<>123.9141<>166.6111<>199.0979<>225.0874<>236.6899<>250.6128<>258.5025<>272.8895<>281.7073
317,2,17-DMAG (Alvespimycin) HCl,38.05602<>35.73553<>42.2329<>27.84587<>18.56391<>8.817858<>9.746053<>11.60244<>21.8126<>28.77406<>38.05602<>49.65846<>64.04549<>104.422<>133.1961<>155.9368<>181.9263<>178.2135<>193.5288<>202.3466<>204.203<>204.6671<>204.6671<>205.5953<>203.2748
318,2,Naftopidil DiHCl,24.13308<>26.91767<>24.13308<>17.17162<>11.13835<>8.817858<>9.281956<>10.21015<>11.60244<>10.67425<>13.45884<>17.17162<>27.84587<>56.15583<>69.61466<>108.5989<>156.401<>191.6724<>223.231<>246.4359<>261.7511<>272.8895<>292.3816<>277.0664<>297.4867
319,2,Roscovitine (Seliciclib;CYC202),24.59718<>24.59718<>22.27669<>15.77932<>10.67425<>8.35376<>6.033271<>7.425564<>9.746053<>13.45884<>11.60244<>12.99474<>25.98948<>52.44305<>69.61466<>109.5271<>145.2626<>167.5393<>181.9263<>196.7775<>212.5568<>237.154<>241.7949<>262.6794<>265.928
320,2,Rocuronium Bromide,26.45357<>25.06128<>22.27669<>16.24342<>11.13835<>6.033271<>5.569173<>8.817858<>9.281956<>10.67425<>18.09981<>20.8844<>27.84587<>47.80207<>75.64793<>117.8808<>162.8983<>184.7109<>225.0874<>257.5742<>280.3151<>284.0278<>289.597<>272.8895<>298.4149
321,2,AT13387,31.55865<>28.30996<>32.02275<>19.9562<>10.21015<>10.21015<>14.85113<>18.56391<>31.09455<>45.48158<>60.33271<>75.64793<>103.0297<>130.4115<>148.5113<>179.1417<>196.7775<>212.0927<>227.872<>227.4079<>233.4412<>228.8002<>226.0156<>215.3414<>206.5235
322,2,Linezolid,15.77932<>15.31523<>16.70752<>12.99474<>6.497369<>6.033271<>4.640978<>6.497369<>6.961466<>12.06654<>13.45884<>23.66899<>29.23816<>59.86861<>90.03497<>136.4447<>180.534<>239.9386<>271.0331<>271.4972<>288.2047<>318.8352<>343.8965<>319.2993<>341.1118
323,2,CYC116,17.63572<>17.63572<>9.746053<>10.67425<>12.06654<>17.17162<>31.55865<>47.80207<>55.69173<>66.83008<>72.86335<>82.60941<>93.74775<>104.8861<>108.5989<>112.7758<>114.6321<>125.3064<>127.1628<>119.7372<>105.8143<>95.14005<>90.96317<>79.82481<>74.25565
324,2,Sildenafil Citrate,21.8126<>20.8844<>23.66899<>12.99474<>6.497369<>4.640978<>6.033271<>4.17688<>6.961466<>6.961466<>12.99474<>25.52538<>41.7688<>65.43778<>90.49906<>142.478<>172.6444<>218.1259<>252.0051<>279.3869<>310.0173<>312.3378<>336.4709<>323.4761<>331.3658
325,2,XAV-939,30.63045<>30.16636<>35.27143<>21.8126<>12.99474<>11.60244<>9.281956<>10.21015<>13.92293<>12.53064<>20.4203<>24.13308<>35.27143<>60.79681<>93.74775<>125.7705<>168.0034<>189.3519<>232.513<>257.5742<>264.9998<>283.0996<>288.6688<>295.1662<>293.7739
326,2,Voriconazole,18.09981<>15.31523<>16.70752<>9.746053<>4.17688<>3.248684<>6.033271<>8.817858<>7.889662<>8.35376<>12.99474<>18.09981<>33.41504<>62.1891<>83.5376<>116.0244<>171.2521<>204.6671<>262.2152<>296.5585<>304.9122<>322.5479<>316.5147<>332.7581<>335.0786
327,2,Fulvestrant,14.38703<>12.99474<>13.45884<>6.033271<>5.105075<>3.248684<>4.17688<>5.105075<>6.497369<>10.67425<>15.31523<>17.17162<>29.23816<>62.1891<>84.92989<>103.9579<>135.9807<>155.0087<>203.2748<>212.5568<>236.2258<>250.1487<>239.0103<>234.8335<>258.0384
328,2,Tipifarnib ,10.67425<>11.13835<>12.06654<>9.281956<>8.817858<>14.38703<>24.59718<>29.23816<>33.87914<>42.69699<>51.51485<>54.76354<>68.68647<>109.5271<>148.0472<>182.3904<>200.0261<>210.2363<>219.0542<>233.9053<>243.6513<>249.2205<>261.7511<>249.6846<>269.6408
329,2,Cladribine,27.38177<>25.98948<>27.38177<>9.746053<>7.889662<>6.961466<>6.961466<>6.961466<>9.281956<>12.06654<>19.49211<>42.69699<>69.15057<>102.1015<>144.7985<>187.0314<>229.7284<>249.2205<>276.6023<>273.8177<>303.5199<>307.6968<>299.343<>332.7581<>325.3326
330,2,AZD6482,19.49211<>19.9562<>20.4203<>10.67425<>5.105075<>6.033271<>8.35376<>11.13835<>10.67425<>18.09981<>25.06128<>41.3047<>51.97895<>90.96317<>109.9912<>132.2679<>154.0805<>184.7109<>239.4744<>248.7564<>268.7126<>267.7844<>284.0278<>262.6794<>280.3151
331,2,Doxorubicin (Adriamycin),0<>0<>0<>0.9281955<>1.392293<>0.9281955<>0.9281955<>0.4640978<>2.784587<>4.17688<>4.17688<>10.67425<>12.06654<>16.24342<>13.92293<>23.66899<>30.63045<>38.05602<>48.73027<>52.90715<>63.1173<>83.0735<>94.67594<>107.6707<>116.4885
332,2,Safinamide Mesylate,13.45884<>14.38703<>13.45884<>10.67425<>5.105075<>6.033271<>4.640978<>6.497369<>8.817858<>13.45884<>15.31523<>26.91767<>56.15583<>105.3502<>130.4115<>176.8212<>217.1978<>264.9998<>289.597<>311.4096<>309.5532<>323.4761<>349.0015<>342.0401<>362.9245
333,2,PFI-1 (PF-6405761),19.49211<>22.27669<>24.59718<>17.17162<>15.31523<>13.45884<>10.67425<>10.21015<>15.77932<>20.8844<>28.77406<>53.37124<>93.74775<>116.4885<>173.1085<>230.1925<>274.7459<>309.5532<>351.322<>369.8859<>368.9577<>387.9857<>370.35<>364.7809<>401.4446
334,2,Iloperidone,17.17162<>20.4203<>19.49211<>15.31523<>6.497369<>11.13835<>11.13835<>10.21015<>10.21015<>14.85113<>21.8126<>34.80733<>61.725<>82.60941<>120.6654<>174.5008<>235.2976<>285.4201<>336.935<>355.963<>376.8474<>390.3062<>393.5549<>389.8421<>417.688
335,2,Empty,11.60244<>9.281956<>10.67425<>7.889662<>4.640978<>8.817858<>10.67425<>12.99474<>11.60244<>19.49211<>27.38177<>43.62519<>71.93516<>86.32218<>128.091<>177.7495<>240.8667<>299.8072<>346.681<>373.1346<>398.66<>422.7931<>450.6389<>454.8158<>471.0592
336,2,Empty,7.425564<>7.425564<>7.425564<>3.712782<>2.784587<>4.17688<>3.712782<>7.889662<>10.67425<>15.77932<>16.24342<>33.41504<>68.22237<>95.14005<>133.6602<>193.5288<>247.3641<>276.1382<>310.9455<>329.5094<>336.4709<>383.3448<>403.765<>414.4393<>442.2852
337,2,Selumetinib (AZD6244),24.59718<>22.74079<>26.91767<>19.02801<>10.21015<>7.889662<>7.425564<>6.961466<>6.961466<>5.569173<>6.497369<>13.45884<>23.20489<>49.65846<>77.96842<>97.46053<>136.4447<>173.5726<>223.231<>236.6899<>249.6846<>259.8947<>278.4586<>295.6303<>317.907
338,2,Etoposide,32.02275<>30.63045<>32.95094<>20.8844<>13.92293<>12.53064<>13.45884<>16.70752<>15.77932<>16.70752<>22.74079<>32.48684<>54.29944<>80.75301<>130.4115<>162.8983<>201.8825<>245.5077<>280.3151<>283.0996<>303.5199<>319.2993<>341.1118<>348.0733<>368.4936
339,2,Canertinib (CI-1033),37.59192<>32.95094<>38.98421<>28.30996<>17.63572<>12.53064<>11.13835<>13.45884<>12.53064<>13.92293<>17.17162<>19.9562<>23.66899<>34.80733<>58.94042<>79.82481<>107.2066<>138.3011<>183.7827<>211.1645<>228.8002<>229.2643<>252.0051<>248.7564<>262.2152
340,2,Letrozole,26.45357<>23.20489<>25.52538<>16.24342<>10.21015<>6.497369<>7.425564<>8.35376<>9.281956<>11.13835<>15.31523<>18.56391<>33.87914<>56.61993<>94.67594<>120.2013<>172.6444<>226.0156<>278.9228<>308.1609<>323.0121<>321.1557<>352.2502<>346.681<>357.8194
341,2,Lenalidomide (CC-5013),26.91767<>26.91767<>25.52538<>23.20489<>12.06654<>9.281956<>5.569173<>7.889662<>9.281956<>12.99474<>14.38703<>22.27669<>40.8406<>51.51485<>80.75301<>123.45<>189.3519<>217.1978<>258.5025<>287.2765<>297.0226<>316.0506<>314.6583<>325.3326<>339.7196
342,2,Enzalutamide (MDV3100),10.67425<>16.70752<>19.02801<>11.13835<>7.889662<>7.889662<>17.63572<>15.31523<>16.70752<>19.02801<>22.27669<>35.73553<>63.58139<>90.03497<>135.5166<>207.4517<>264.0716<>313.7301<>367.1013<>387.0575<>398.1959<>396.3395<>412.1188<>428.8263<>432.5391
343,2,Sorafenib Tosylate,39.91241<>42.2329<>41.7688<>32.48684<>27.38177<>24.13308<>20.8844<>19.49211<>25.98948<>31.09455<>27.84587<>25.52538<>32.48684<>43.16109<>56.61993<>71.00696<>84.00169<>96.53233<>130.4115<>159.6496<>169.3957<>192.1365<>198.6339<>213.9491<>195.8493
344,2,Cinacalcet HCl,14.85113<>16.70752<>15.77932<>6.497369<>1.856391<>2.320489<>6.033271<>6.033271<>4.640978<>9.746053<>14.38703<>22.74079<>32.02275<>71.00696<>83.5376<>122.9859<>155.9368<>179.6058<>219.0542<>247.8282<>259.4307<>275.21<>279.851<>263.6075<>288.6688
345,2,VX-680 (Tozasertib; MK-0457),32.95094<>32.48684<>38.05602<>23.20489<>15.77932<>14.38703<>13.45884<>20.8844<>24.59718<>33.41504<>41.3047<>67.75828<>77.04023<>107.2066<>135.0524<>137.837<>153.1523<>168.9316<>186.5673<>193.0647<>200.4902<>219.9823<>219.5182<>222.3028<>232.9771
346,2,BX-912,19.49211<>16.24342<>19.9562<>13.45884<>7.889662<>14.38703<>19.49211<>23.20489<>30.63045<>40.8406<>49.19436<>58.94042<>71.00696<>99.31693<>124.3782<>172.1803<>225.0874<>277.9946<>322.0839<>346.681<>379.632<>394.4831<>399.1241<>372.2064<>361.9962
347,2,Nutlin-3,21.3485<>15.77932<>17.17162<>12.06654<>7.425564<>4.640978<>8.35376<>9.281956<>10.67425<>14.38703<>24.59718<>32.02275<>52.90715<>82.60941<>123.45<>179.6058<>242.7231<>275.6741<>337.8632<>346.2169<>359.6758<>360.1399<>365.2449<>369.8859<>357.8194
348,2,Biperiden HCl,10.67425<>14.38703<>12.06654<>10.67425<>6.497369<>6.961466<>7.425564<>6.961466<>12.06654<>13.92293<>19.02801<>40.37651<>69.61466<>102.5656<>128.5551<>170.3239<>221.8387<>240.8667<>302.5917<>327.653<>342.9683<>361.5322<>357.3553<>353.1784<>349.4656
349,2,HA14-1,8.817858<>10.21015<>12.99474<>7.425564<>7.425564<>6.961466<>8.817858<>9.746053<>11.60244<>17.17162<>24.13308<>35.27143<>38.52011<>56.15583<>83.5376<>129.9474<>188.8878<>232.0489<>273.8177<>299.343<>324.8684<>332.7581<>356.8912<>364.3167<>390.3062
350,2,Epothilone A,26.45357<>22.27669<>21.3485<>15.31523<>16.70752<>28.30996<>55.22763<>82.1453<>114.6321<>152.6882<>178.6776<>183.3186<>202.8107<>269.1767<>256.6461<>269.1767<>257.1102<>234.8335<>248.7564<>231.5848<>233.4412<>225.5515<>206.0594<>197.2415<>170.3239
351,2,Brivanib (BMS-540215),30.16636<>24.59718<>27.38177<>13.92293<>9.281956<>7.889662<>10.21015<>9.281956<>10.21015<>18.09981<>19.9562<>25.52538<>34.34324<>69.61466<>101.6374<>142.0139<>180.534<>206.9876<>216.7337<>222.7669<>219.0542<>219.9823<>219.5182<>221.8387<>231.5848
352,2,Ki16425,19.49211<>18.09981<>18.56391<>10.67425<>6.033271<>3.712782<>6.497369<>6.497369<>8.35376<>9.281956<>17.17162<>29.70226<>51.51485<>87.25038<>134.5883<>192.1365<>250.1487<>269.6408<>330.9017<>355.963<>353.6425<>347.1451<>342.0401<>331.8299<>318.3711
353,2,PF-04217903,6.033271<>7.889662<>7.425564<>4.640978<>2.320489<>3.248684<>1.856391<>5.569173<>10.21015<>17.63572<>18.09981<>25.98948<>45.01748<>70.54286<>101.1733<>147.5831<>192.6006<>252.9333<>275.21<>312.3378<>330.9017<>353.6425<>367.1013<>393.5549<>385.2011
354,2,Fluconazole,25.98948<>25.98948<>22.27669<>13.92293<>10.67425<>9.281956<>8.35376<>9.746053<>12.53064<>14.38703<>19.9562<>30.63045<>46.40978<>64.97369<>111.8476<>154.0805<>193.9929<>241.7949<>284.956<>317.4429<>355.0348<>357.8194<>368.4936<>365.709<>373.5987
355,2,ZM 447439,12.06654<>11.60244<>11.60244<>12.99474<>22.27669<>25.52538<>43.62519<>77.50433<>110.9194<>119.2731<>130.4115<>135.9807<>163.8265<>191.6724<>198.6339<>185.175<>174.5008<>172.6444<>161.0419<>135.5166<>113.704<>103.4938<>93.74775<>90.03497<>75.18384
356,2,Glimepiride,19.49211<>17.17162<>22.27669<>13.92293<>8.35376<>5.569173<>4.17688<>7.425564<>12.53064<>18.56391<>18.09981<>26.91767<>57.08403<>90.49906<>129.9474<>190.7442<>244.1154<>276.1382<>327.653<>345.2887<>379.1679<>369.8859<>393.0908<>383.3448<>396.8036
357,2,Foretinib (GSK1363089),14.85113<>16.24342<>27.84587<>42.2329<>69.15057<>110.4553<>155.0087<>204.203<>236.2258<>245.9718<>258.5025<>260.8229<>236.2258<>211.1645<>161.506<>123.9141<>92.81956<>66.36598<>53.37124<>43.62519<>37.12782<>30.16636<>25.52538<>17.17162<>18.56391
358,2,Loratadine,5.569173<>6.033271<>2.320489<>1.392293<>2.320489<>3.248684<>4.17688<>5.105075<>7.889662<>12.06654<>15.77932<>28.30996<>46.40978<>67.75828<>99.78102<>139.2293<>172.6444<>224.6233<>255.7179<>277.5305<>298.4149<>332.7581<>349.0015<>356.8912<>381.0243
359,2,Empty,14.38703<>12.53064<>9.281956<>6.033271<>4.640978<>2.784587<>3.712782<>2.784587<>6.961466<>12.99474<>20.4203<>28.77406<>50.58666<>71.47105<>88.17857<>119.2731<>160.5778<>194.9211<>200.4902<>233.4412<>248.2923<>260.3589<>276.6023<>303.5199<>299.343
360,2,Empty,3.248684<>2.784587<>2.784587<>1.392293<>0.9281955<>1.392293<>2.320489<>5.569173<>8.35376<>12.06654<>19.02801<>29.23816<>47.80207<>88.17857<>144.7985<>196.3134<>268.2485<>297.9508<>370.35<>387.0575<>412.5829<>434.8596<>455.744<>429.2904<>474.3079
361,2,Cabozantinib (XL184; BMS-907351),10.67425<>9.281956<>9.281956<>12.06654<>25.06128<>22.27669<>41.3047<>53.83534<>77.04023<>106.7425<>143.4062<>141.0857<>150.8318<>201.8825<>215.8055<>233.9053<>228.3361<>201.8825<>206.5235<>192.1365<>172.6444<>167.5393<>148.5113<>128.091<>130.4115
362,2,Amonafide,21.3485<>24.13308<>22.74079<>16.24342<>8.35376<>6.497369<>9.281956<>11.60244<>12.99474<>16.70752<>18.09981<>17.17162<>14.85113<>22.27669<>30.16636<>33.87914<>37.12782<>48.26617<>67.75828<>83.5376<>122.9859<>153.6164<>165.2188<>195.3852<>230.6566
363,2,Alisertib (MLN8237),15.31523<>13.92293<>13.92293<>8.35376<>7.425564<>9.746053<>13.92293<>28.30996<>32.95094<>42.69699<>60.79681<>91.89136<>111.8476<>142.9421<>152.2241<>181.4622<>213.9491<>232.9771<>249.2205<>264.9998<>256.6461<>248.7564<>252.9333<>272.4254<>270.569
364,2,Isotretinoin,22.74079<>24.59718<>20.4203<>14.85113<>11.60244<>10.21015<>11.60244<>13.45884<>23.20489<>34.80733<>48.26617<>70.54286<>107.2066<>156.401<>213.0209<>290.0611<>354.1066<>404.6933<>452.0312<>473.3797<>474.3079<>475.7002<>471.9874<>504.9384<>458.5286
365,2,AG-490 (Tyrphostin B42),19.02801<>19.02801<>16.24342<>13.92293<>11.60244<>6.961466<>7.425564<>12.99474<>10.21015<>12.53064<>16.70752<>23.20489<>41.3047<>72.86335<>124.8423<>165.2188<>225.5515<>271.4972<>352.2502<>391.2344<>408.8701<>423.7213<>424.6494<>460.385<>481.7335
366,2,Omeprazole ,36.19963<>33.41504<>36.66372<>19.49211<>10.21015<>12.06654<>6.961466<>6.497369<>9.281956<>14.38703<>15.31523<>24.59718<>34.34324<>54.29944<>77.96842<>135.5166<>204.203<>262.2152<>320.6916<>329.5094<>372.2064<>365.2449<>370.35<>361.0681<>366.1731
367,2,SNS-314 Mesylate,27.38177<>25.52538<>30.16636<>20.4203<>18.09981<>21.3485<>29.23816<>38.52011<>59.86861<>72.39925<>91.42726<>114.6321<>120.2013<>132.2679<>137.837<>140.6216<>155.0087<>160.5778<>167.0752<>170.788<>165.2188<>154.5446<>161.506<>153.6164<>155.9368
368,2,Stavudine (d4T),17.63572<>15.31523<>17.17162<>12.99474<>7.425564<>4.17688<>5.569173<>5.105075<>7.425564<>14.85113<>24.59718<>31.55865<>45.48158<>69.15057<>119.2731<>161.0419<>217.1978<>254.7897<>313.266<>331.8299<>357.8194<>367.1013<>394.019<>389.378<>395.8754
369,2,Lenvatinib (E7080),24.13308<>24.59718<>27.38177<>15.77932<>10.21015<>12.53064<>14.85113<>17.17162<>20.8844<>31.55865<>42.69699<>68.68647<>97.46053<>140.6216<>186.1032<>209.7722<>244.5795<>286.8124<>301.1995<>295.6303<>295.1662<>279.851<>268.7126<>267.3203<>233.4412
370,2,Alfuzosin HCl ,23.20489<>26.91767<>19.49211<>12.06654<>10.21015<>6.497369<>10.21015<>7.889662<>10.67425<>10.67425<>14.38703<>24.59718<>57.54812<>81.21711<>122.0577<>173.5726<>229.2643<>305.3763<>341.1118<>371.7423<>396.8036<>396.8036<>422.329<>433.9314<>447.3903
371,2,JNJ-26854165 (Serdemetan),10.67425<>12.99474<>12.53064<>9.746053<>7.425564<>8.35376<>7.425564<>6.033271<>4.640978<>7.425564<>11.13835<>21.8126<>40.8406<>43.62519<>70.07877<>99.78102<>138.3011<>196.7775<>239.0103<>272.8895<>292.3816<>329.5094<>349.0015<>388.9139<>408.8701
372,2,Sumatriptan Succinate,16.70752<>17.63572<>14.38703<>9.746053<>6.033271<>7.425564<>8.817858<>6.961466<>10.67425<>11.13835<>13.92293<>23.66899<>45.94568<>71.93516<>110.9194<>157.7932<>215.8055<>291.4534<>349.0015<>375.4551<>399.1241<>402.3728<>414.4393<>406.0855<>420.9367
373,2,ENMD-2076,22.27669<>20.4203<>26.45357<>41.7688<>61.725<>99.31693<>140.1575<>168.9316<>203.7389<>225.0874<>235.7617<>237.154<>222.3028<>202.3466<>160.1137<>122.9859<>103.0297<>89.10677<>64.50959<>47.80207<>35.27143<>25.52538<>17.17162<>13.45884<>12.06654
374,2,Zileuton,29.23816<>25.06128<>24.59718<>14.85113<>6.033271<>8.817858<>5.569173<>8.817858<>12.53064<>18.56391<>25.98948<>41.7688<>57.54812<>95.60414<>142.9421<>199.562<>267.3203<>290.5252<>336.0068<>365.709<>367.1013<>391.6985<>394.9472<>393.5549<>409.3342
375,2,Raltitrexed,24.13308<>24.59718<>26.45357<>14.85113<>12.06654<>13.92293<>11.60244<>10.21015<>13.92293<>19.9562<>24.59718<>35.27143<>57.54812<>93.74775<>141.0857<>191.6724<>243.1872<>306.7686<>338.7914<>349.4656<>368.0295<>392.6267<>395.8754<>384.2729<>398.66
376,2,PHA-680632,31.09455<>22.74079<>20.8844<>16.70752<>19.9562<>22.74079<>35.27143<>57.08403<>70.07877<>81.21711<>95.60414<>114.6321<>114.1681<>116.0244<>113.704<>113.2399<>100.7092<>107.6707<>122.0577<>132.732<>119.7372<>127.1628<>140.6216<>129.4833<>128.5551
377,2,Decitabine,18.56391<>19.49211<>19.9562<>12.06654<>6.497369<>5.569173<>8.35376<>7.889662<>10.67425<>16.70752<>22.74079<>40.37651<>77.50433<>105.3502<>156.8651<>205.5953<>260.8229<>302.5917<>345.2887<>374.5269<>409.3342<>420.4726<>438.5724<>440.4288<>481.7335
378,2,Marbofloxacin,24.13308<>20.4203<>18.56391<>13.92293<>7.425564<>4.640978<>6.033271<>7.889662<>11.60244<>18.09981<>30.16636<>43.16109<>52.44305<>85.85809<>124.3782<>177.7495<>235.2976<>295.6303<>342.5042<>374.0628<>400.5164<>401.4446<>402.3728<>406.0855<>413.047
379,2,Fluorouracil (5-Fluoracil; 5-FU),31.09455<>24.59718<>27.84587<>12.06654<>6.033271<>7.425564<>8.35376<>11.60244<>14.85113<>18.56391<>26.91767<>34.80733<>53.83534<>81.21711<>130.4115<>184.7109<>241.7949<>294.238<>344.3605<>355.963<>361.5322<>385.2011<>399.5882<>381.4884<>428.8263
380,2,GSK429286A,17.17162<>14.85113<>19.02801<>8.817858<>3.712782<>3.248684<>6.497369<>7.889662<>12.99474<>20.4203<>31.09455<>49.19436<>76.57613<>110.9194<>161.9701<>238.5462<>280.3151<>305.8404<>328.1171<>329.9735<>350.3938<>328.1171<>330.9017<>297.9508<>323.4761
381,2,Cyclophosphamide,17.17162<>18.56391<>23.66899<>15.31523<>9.746053<>9.281956<>12.53064<>11.60244<>13.45884<>18.09981<>19.9562<>32.95094<>57.54812<>100.2451<>141.5498<>206.9876<>258.5025<>309.0891<>366.6372<>386.5934<>385.6653<>390.7703<>395.4113<>403.765<>422.7931
382,2,MC1568,10.21015<>10.21015<>10.21015<>6.961466<>4.640978<>4.17688<>4.640978<>3.712782<>5.105075<>8.817858<>20.8844<>24.59718<>30.16636<>50.12256<>77.04023<>119.2731<>154.0805<>193.9929<>227.4079<>256.182<>286.8124<>323.9402<>346.681<>363.8527<>390.3062
383,2,Empty,1.856391<>1.856391<>1.392293<>0.4640978<>0.4640978<>3.712782<>3.248684<>4.17688<>4.17688<>10.67425<>17.63572<>34.34324<>57.08403<>72.39925<>105.8143<>168.9316<>252.0051<>300.7354<>344.8246<>360.604<>409.3342<>427.8981<>435.7878<>460.385<>472.9156
384,2,Empty,23.66899<>21.8126<>18.09981<>14.85113<>15.31523<>13.45884<>12.99474<>12.99474<>16.24342<>23.20489<>32.48684<>45.01748<>70.07877<>132.732<>183.7827<>245.5077<>322.0839<>392.6267<>471.5233<>493.3359<>518.3972<>534.1765<>565.2711<>547.1713<>559.2378
385,2,HMN-214,8.35376<>8.817858<>10.21015<>4.640978<>8.35376<>25.52538<>51.05075<>84.4658<>119.2731<>163.8265<>196.7775<>229.7284<>262.6794<>250.1487<>250.6128<>246.9<>257.1102<>241.7949<>261.7511<>263.1434<>259.4307<>256.6461<>245.0436<>236.6899<>247.3641
386,2,Sulfadiazine,7.425564<>8.817858<>10.21015<>7.425564<>9.746053<>8.35376<>6.033271<>6.033271<>8.817858<>13.45884<>17.17162<>26.91767<>50.58666<>77.50433<>123.45<>188.8878<>262.2152<>332.294<>393.5549<>443.6775<>507.723<>524.4305<>539.7457<>521.1818<>564.3429
387,2,Betamethasone ,11.13835<>8.817858<>8.817858<>9.281956<>6.497369<>6.033271<>5.569173<>6.033271<>7.425564<>4.17688<>3.712782<>11.60244<>28.30996<>53.83534<>88.64268<>119.7372<>155.9368<>204.6671<>238.5462<>267.7844<>290.0611<>317.4429<>329.0453<>332.7581<>350.8579
388,2,Teniposide,9.746053<>8.35376<>7.889662<>6.497369<>6.033271<>6.033271<>10.21015<>10.21015<>14.85113<>28.30996<>38.05602<>69.15057<>118.3449<>148.5113<>216.2696<>285.4201<>349.0015<>430.2186<>451.103<>452.9594<>467.8105<>488.6949<>500.7615<>469.2029<>470.131
389,2,Cyclosporine ,12.99474<>13.45884<>14.85113<>10.67425<>6.497369<>6.497369<>6.961466<>8.817858<>15.77932<>15.31523<>31.09455<>44.55339<>61.725<>67.75828<>85.39399<>120.6654<>142.478<>187.0314<>205.5953<>202.8107<>194.9211<>206.0594<>214.8773<>215.8055<>216.2696
390,2,Acetylcholine Chloride,6.961466<>10.67425<>9.281956<>9.281956<>7.425564<>9.746053<>11.13835<>12.06654<>11.13835<>14.38703<>17.63572<>26.45357<>50.12256<>90.96317<>136.9088<>174.5008<>230.6566<>279.851<>357.8194<>380.5602<>435.3237<>464.5619<>466.8824<>444.1416<>489.1591
391,2,Quizartinib (AC220),4.17688<>5.105075<>5.569173<>7.889662<>6.033271<>15.77932<>25.06128<>57.08403<>120.2013<>164.7547<>204.6671<>236.6899<>256.182<>261.287<>230.6566<>210.7004<>184.2468<>164.7547<>148.9754<>132.732<>116.4885<>100.2451<>82.1453<>85.85809<>75.18384
392,2,Proparacaine HCl,7.889662<>7.425564<>9.281956<>6.497369<>8.35376<>7.889662<>10.21015<>12.99474<>13.92293<>21.8126<>23.20489<>35.73553<>51.97895<>78.89662<>121.5936<>176.8212<>224.1592<>285.8842<>320.6916<>352.7143<>371.7423<>383.3448<>383.8089<>361.9962<>397.2677
393,2,CP-673451,6.961466<>7.425564<>9.746053<>10.67425<>9.746053<>9.746053<>18.09981<>22.27669<>16.24342<>15.31523<>22.74079<>39.44831<>48.73027<>70.07877<>89.57087<>124.8423<>155.9368<>190.2801<>242.259<>273.8177<>295.1662<>299.8072<>304.4482<>286.3483<>306.7686
