1,3,(-)-Blebbistatin,190.7442<>188.4237<>203.2748<>210.2363<>218.59<>225.5515<>237.154<>246.9<>259.4307<>279.3869<>295.1662<>315.1224<>328.5812<>351.7861<>370.8141<>397.7318<>411.6547<>434.8596<>466.8824<>500.2974<>541.6021<>578.2658<>623.2833<>653.9138<>680.3673<>708.2132<>752.3025<>790.8226<>835.376<>876.2166<>945.8312<>990.8488<>1059.071<>1090.166<>1141.216<>1195.98<>1264.202<>1314.325<>1357.022<>1402.039<>1439.631<>1481.864<>1535.699<>1596.032<>1640.586<>1661.006<>1739.903<>1756.61<>1824.832<>1817.407<>1861.496<>1893.519<>1959.421<>1977.057<>2003.046<>2008.151<>2052.704<>2060.594<>2081.014<>2132.529
2,3,(-)-Epigallocatechin Gallate,147.119<>144.3344<>151.76<>157.7932<>171.7162<>177.7495<>188.8878<>195.8493<>203.7389<>220.4464<>239.4744<>251.541<>256.6461<>273.8177<>297.4867<>314.1942<>333.2222<>353.1784<>378.7038<>410.2624<>432.5391<>463.6337<>498.9051<>524.4305<>552.7404<>593.1169<>621.891<>667.8367<>691.9698<>734.6667<>796.8559<>851.1553<>911.0239<>935.6211<>987.6<>1024.264<>1076.243<>1123.117<>1174.631<>1241.462<>1299.474<>1326.855<>1388.581<>1461.444<>1513.887<>1583.037<>1614.132<>1641.05<>1676.321<>1686.995<>1736.19<>1764.036<>1806.733<>1853.606<>1876.347<>1942.713<>1961.277<>2003.51<>2010.936<>2011.4
3,3,(-)-Huperzine A (HupA),116.9526<>122.0577<>124.8423<>126.2346<>131.8038<>141.5498<>148.5113<>160.1137<>161.0419<>179.1417<>190.7442<>206.0594<>211.6286<>224.6233<>231.1207<>248.7564<>261.7511<>283.0996<>294.7021<>307.6968<>322.0839<>354.1066<>377.7756<>387.5216<>418.1521<>435.7878<>458.9927<>484.5181<>507.723<>540.6739<>560.6301<>595.4374<>632.5652<>672.0135<>691.9698<>733.7386<>762.5126<>775.9715<>805.6737<>840.017<>866.4705<>894.7805<>917.9854<>939.798<>975.9976<>1005.7<>1052.11<>1085.525<>1131.47<>1162.101<>1165.814<>1192.267<>1208.511<>1225.218<>1237.285<>1253.992<>1293.905<>1315.253<>1329.176<>1370.017
4,3,(-)-MK 801 Maleate,155.4727<>149.4395<>157.3291<>175.8931<>179.6058<>191.6724<>203.7389<>215.8055<>229.7284<>240.4026<>250.1487<>272.4254<>285.8842<>301.6635<>328.1171<>349.9297<>365.2449<>393.5549<>415.8316<>444.1416<>455.744<>486.3745<>511.4357<>546.7072<>591.2606<>635.814<>675.7264<>706.3568<>759.264<>785.7175<>822.8453<>892.46<>931.9083<>971.8207<>1003.843<>1076.243<>1116.619<>1184.378<>1215.472<>1255.849<>1306.435<>1340.314<>1381.619<>1398.791<>1432.67<>1467.941<>1528.274<>1523.169<>1555.192<>1602.066<>1650.332<>1718.554<>1745.936<>1782.599<>1821.12<>1845.717<>1859.176<>1890.27<>1904.657<>1928.326
5,3,(-)-Parthenolide,184.7109<>184.2468<>184.2468<>190.2801<>195.3852<>196.7775<>205.5953<>214.4132<>220.4464<>239.4744<>255.7179<>262.6794<>277.5305<>294.7021<>297.9508<>313.266<>326.7248<>338.3273<>359.2117<>373.1346<>394.4831<>429.7545<>448.3185<>474.3079<>499.3692<>508.6512<>534.1765<>560.166<>589.4042<>620.9628<>646.9523<>676.6545<>730.4899<>764.369<>806.1378<>851.1553<>872.5038<>912.8803<>959.2901<>995.4897<>1050.717<>1069.745<>1126.829<>1170.919<>1234.964<>1274.877<>1343.563<>1365.376<>1433.598<>1487.433<>1524.561<>1583.966<>1636.873<>1673.536<>1698.598<>1749.184<>1803.484<>1822.976<>1883.773<>1931.111
6,3,(-)-Tetramisole,6.961466<>7.425564<>7.425564<>6.961466<>7.889662<>8.35376<>9.281956<>11.13835<>10.67425<>12.06654<>11.60244<>12.99474<>13.92293<>13.92293<>12.53064<>14.38703<>12.53064<>12.06654<>14.38703<>15.31523<>15.77932<>16.24342<>18.09981<>19.9562<>23.66899<>22.74079<>22.74079<>27.84587<>23.66899<>30.16636<>32.02275<>35.73553<>37.12782<>37.59192<>40.8406<>44.55339<>44.55339<>45.48158<>49.65846<>56.15583<>57.08403<>58.94042<>59.86861<>63.1173<>64.50959<>71.00696<>71.93516<>84.00169<>85.39399<>94.21185<>103.0297<>102.1015<>105.3502<>114.1681<>116.0244<>120.2013<>128.5551<>138.3011<>147.5831<>157.3291
7,3,(+;-)-Octopamine HCl,104.422<>110.9194<>113.704<>116.9526<>120.6654<>122.9859<>131.8038<>138.3011<>142.478<>161.506<>170.3239<>174.9649<>182.3904<>201.4184<>210.7004<>219.9823<>227.4079<>242.7231<>255.7179<>264.0716<>281.2433<>298.4149<>322.0839<>339.2555<>348.5374<>372.2064<>389.378<>415.8316<>443.2134<>465.9542<>488.2309<>535.1047<>542.5303<>583.835<>602.863<>636.278<>634.4216<>679.9033<>727.7053<>743.0205<>790.8226<>824.7017<>861.3655<>884.5704<>942.5826<>938.4057<>973.213<>983.4232<>1000.131<>1018.695<>1055.822<>1097.591<>1125.901<>1156.068<>1205.262<>1221.505<>1249.351<>1288.8<>1296.225<>1335.209
8,3,(+)-Bicuculline,106.7425<>111.8476<>112.7758<>114.1681<>123.45<>124.3782<>126.6987<>132.732<>148.9754<>152.6882<>160.1137<>169.8598<>183.3186<>183.7827<>201.4184<>206.5235<>219.9823<>232.513<>253.3974<>274.7459<>284.4919<>315.1224<>333.6863<>346.2169<>378.2397<>415.3675<>433.9314<>451.5671<>483.1258<>516.5408<>549.9559<>580.5863<>617.2501<>649.2728<>685.9365<>739.7719<>783.8611<>803.3532<>849.763<>902.2061<>934.6929<>956.5055<>1026.12<>1072.066<>1116.619<>1147.25<>1178.344<>1211.295<>1225.218<>1268.379<>1322.679<>1365.376<>1384.868<>1425.244<>1473.974<>1525.489<>1547.302<>1578.861<>1576.54<>1647.083
9,3,(+)-JQ1,142.0139<>147.5831<>154.0805<>158.2573<>162.8983<>166.6111<>173.1085<>179.1417<>189.3519<>205.1312<>216.2696<>226.0156<>229.2643<>236.2258<>246.9<>247.3641<>251.541<>260.8229<>267.3203<>282.6355<>282.1714<>296.5585<>304.9122<>310.0173<>316.5147<>333.2222<>342.0401<>341.576<>347.6092<>351.322<>354.5707<>351.322<>355.0348<>362.9245<>355.963<>363.8527<>373.5987<>371.7423<>363.8527<>369.4218<>373.1346<>368.0295<>359.6758<>362.9245<>358.7476<>349.0015<>333.2222<>336.0068<>339.2555<>341.1118<>330.4376<>328.1171<>331.3658<>340.1837<>336.0068<>335.5427<>331.3658<>328.5812<>326.2607<>323.4761
10,3,(+)-Matrine,220.4464<>222.7669<>234.3694<>234.3694<>256.182<>263.6075<>270.569<>290.0611<>311.4096<>317.4429<>346.2169<>374.0628<>400.5164<>420.4726<>444.6057<>473.3797<>506.3307<>542.9944<>588.0119<>614.4655<>667.8367<>705.8927<>740.236<>780.6124<>834.4478<>886.8908<>931.4442<>985.2795<>1062.32<>1109.658<>1171.847<>1202.013<>1264.666<>1333.353<>1382.547<>1452.626<>1505.997<>1543.589<>1615.988<>1671.216<>1694.421<>1762.179<>1794.666<>1812.766<>1844.325<>1881.917<>1917.188<>1972.88<>2022.538<>2025.787<>2033.212<>2049.92<>2085.191<>2076.837<>2089.368<>2139.027<>2128.816<>2173.37<>2149.237<>2177.083
