,expId,Compound,tempConfluenceDf
22,3,Granisetron HCl,39.68163<>41.74121<>49.89148<>55.22844<>60.43904<>67.43679<>76.47892<>83.0553<>91.01362<>93.89913<>98.03693<>99.22343<>99.71353<>99.87794<>99.97264<>99.98127<>100<>100<>100<>100<>100<>100<>100<>100<>100
23,3,4mu8C,43.2387<>45.6739<>51.99041<>59.98997<>63.90838<>69.46355<>77.0146<>81.09444<>86.55422<>88.53551<>92.28213<>94.71776<>97.44867<>98.58372<>99.71513<>99.94542<>100<>100<>100<>100<>100<>100<>100<>100<>100
24,3,RG2833 (RGFP109),30.46378<>32.73645<>37.90644<>46.81629<>52.04209<>56.31611<>61.90932<>70.26393<>78.92268<>82.90686<>84.78004<>94.4252<>97.13445<>98.13977<>98.9137<>99.96<>100<>100<>100<>100<>100<>100<>100<>100<>100
25,3,SGX-523,34.07798<>35.05651<>40.11045<>45.14118<>50.61124<>56.56099<>63.07919<>68.31435<>74.55576<>82.53674<>87.19157<>93.50229<>96.00228<>99.31608<>99.68963<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
26,3,Losartan Potassium (DuP 753),30.87416<>34.78725<>39.71624<>44.22629<>47.52667<>54.15526<>61.39527<>67.66087<>75.81523<>80.24197<>87.70535<>92.48106<>97.16878<>99.15569<>99.19221<>99.78641<>99.97755<>100<>100<>100<>100<>100<>100<>100<>100
27,3,Everolimus (RAD001),37.40501<>40.85239<>47.52052<>52.14853<>59.99765<>63.95987<>70.40486<>72.05383<>79.38411<>81.62328<>86.13602<>88.0396<>91.0628<>92.44528<>93.74814<>95.84134<>97.13244<>98.06794<>99.07761<>99.49042<>99.76866<>99.97147<>99.98106<>99.98127<>99.97948
28,3,Acitretin,42.10399<>43.25832<>51.32791<>57.67096<>63.44854<>71.17552<>75.43924<>83.00112<>89.97098<>93.16257<>96.21352<>98.12236<>99.41989<>99.71809<>99.69557<>99.93699<>99.95724<>99.94218<>99.96006<>100<>100<>100<>100<>100<>100
29,3,AT9283,32.74258<>32.5607<>32.41926<>32.90429<>33.33693<>32.88241<>32.08229<>33.10289<>32.69271<>31.66735<>31.89772<>31.87514<>32.15979<>31.37183<>31.39091<>30.77248<>31.95077<>31.66729<>32.30493<>32.78301<>31.59698<>33.1936<>33.88676<>33.53503<>34.13206
30,3,Lopinavir,37.46925<>39.81812<>46.58853<>53.86703<>60.10907<>68.7629<>73.90929<>83.10675<>89.2329<>94.40566<>96.7776<>98.79759<>99.24907<>99.75733<>99.77991<>99.95579<>100<>99.97788<>99.97755<>100<>100<>100<>100<>100<>100
31,3,Ivacaftor (VX-770),38.81315<>41.26416<>48.26072<>55.18568<>64.09998<>72.05335<>77.61031<>84.97795<>92.01549<>94.52178<>96.6561<>98.46691<>99.59431<>99.95531<>100<>100<>99.97706<>100<>100<>100<>100<>100<>100<>100<>100
32,3,Ondansetron HCl,33.75657<>37.02503<>41.42719<>49.17005<>57.7709<>65.4268<>71.32687<>78.49834<>87.50027<>93.09385<>96.78636<>98.83787<>99.17461<>99.97623<>100<>99.977<>100<>100<>100<>100<>100<>100<>100<>100<>100
33,3,S3I-201,35.41742<>40.27237<>46.13678<>53.79391<>60.18815<>70.97431<>79.11443<>86.12185<>91.38427<>95.54424<>97.87395<>99.55714<>99.75388<>99.94756<>99.97443<>99.93478<>100<>100<>100<>100<>100<>100<>100<>100<>100
