,expId,Compound,tempSytoxDf
20,3,Flumazenil,2.320489<>4.640978<>7.425564<>7.889662<>6.497369<>6.961466<>6.961466<>6.033271<>6.033271<>7.889662<>8.817858<>12.53064<>15.77932<>13.45884<>24.13308<>18.56391<>35.27143<>53.37124<>83.0735<>119.7372<>175.429<>232.513<>281.7073<>319.2993<>361.5322
21,3,GDC-0879,2.320489<>3.248684<>2.784587<>3.248684<>2.320489<>2.784587<>2.320489<>3.248684<>6.033271<>9.281956<>8.35376<>12.06654<>16.70752<>17.63572<>28.30996<>37.59192<>52.44305<>85.39399<>149.9036<>215.8055<>326.7248<>463.1696<>584.7632<>746.7333<>877.1448
22,3,Granisetron HCl,6.497369<>8.35376<>7.425564<>4.640978<>3.248684<>1.856391<>3.248684<>6.497369<>3.248684<>5.569173<>5.105075<>12.06654<>14.38703<>15.31523<>23.66899<>32.95094<>54.29944<>88.64268<>123.45<>176.3571<>242.7231<>295.1662<>333.2222<>390.3062<>448.3185
23,3,4mu8C,9.746053<>9.746053<>11.60244<>9.281956<>6.497369<>6.033271<>7.425564<>8.35376<>10.67425<>15.31523<>14.85113<>13.45884<>13.92293<>14.38703<>25.98948<>38.05602<>62.1891<>97.92463<>144.7985<>239.4744<>280.7791<>340.1837<>405.6215<>478.9489<>532.3201
24,3,RG2833 (RGFP109),6.497369<>7.889662<>6.961466<>3.248684<>3.712782<>4.17688<>4.640978<>6.033271<>8.35376<>11.13835<>6.497369<>10.21015<>13.45884<>17.63572<>19.9562<>26.91767<>31.55865<>39.44831<>52.44305<>67.29417<>81.68121<>123.9141<>147.5831<>188.8878<>187.0314
25,3,SGX-523,9.746053<>9.746053<>8.817858<>7.889662<>8.817858<>7.425564<>8.35376<>7.889662<>6.033271<>6.961466<>5.569173<>8.35376<>10.67425<>13.45884<>20.8844<>31.55865<>50.12256<>65.43778<>100.7092<>123.9141<>155.0087<>198.6339<>261.7511<>325.7966<>396.3395
26,3,Losartan Potassium (DuP 753),3.248684<>6.961466<>10.21015<>9.281956<>13.45884<>5.105075<>4.640978<>6.961466<>8.817858<>8.817858<>8.817858<>15.77932<>19.9562<>24.59718<>25.98948<>31.55865<>54.76354<>56.15583<>83.0735<>114.1681<>147.5831<>174.9649<>206.5235<>235.7617<>265.928
27,3,Everolimus (RAD001),2.784587<>3.712782<>6.033271<>5.105075<>6.497369<>7.889662<>8.817858<>8.35376<>6.033271<>5.569173<>8.817858<>6.033271<>5.569173<>6.497369<>6.033271<>11.60244<>11.60244<>20.8844<>17.17162<>21.8126<>30.16636<>25.52538<>26.45357<>34.34324<>40.37651
28,3,Acitretin,5.569173<>4.640978<>5.105075<>3.712782<>5.105075<>6.033271<>6.961466<>8.35376<>12.06654<>16.70752<>28.77406<>37.12782<>44.08929<>53.37124<>80.75301<>105.8143<>144.7985<>189.816<>231.5848<>263.6075<>270.1049<>281.2433<>321.6198<>360.604<>373.5987
29,3,AT9283,5.569173<>5.569173<>8.817858<>8.817858<>15.31523<>29.23816<>56.61993<>87.25038<>105.8143<>131.3397<>157.7932<>179.1417<>177.7495<>173.1085<>164.7547<>148.5113<>148.5113<>155.9368<>155.4727<>153.6164<>145.2626<>132.2679<>134.5883<>131.8038<>115.0962
30,3,Lopinavir,8.817858<>10.67425<>8.817858<>10.21015<>7.889662<>6.033271<>8.35376<>6.497369<>6.497369<>8.817858<>5.569173<>7.425564<>9.281956<>11.60244<>11.60244<>14.38703<>24.59718<>44.08929<>59.86861<>76.11204<>103.9579<>124.8423<>136.9088<>153.1523<>156.8651
31,3,Ivacaftor (VX-770),6.033271<>6.961466<>7.889662<>5.569173<>4.17688<>3.248684<>4.640978<>6.033271<>5.105075<>2.320489<>2.784587<>3.712782<>9.281956<>13.45884<>16.24342<>23.66899<>36.66372<>42.2329<>78.43253<>113.2399<>151.2959<>174.9649<>208.3799<>266.3921<>285.8842
32,3,Ondansetron HCl,1.392293<>2.320489<>2.320489<>2.784587<>4.17688<>4.17688<>3.248684<>3.712782<>5.569173<>5.569173<>9.746053<>10.67425<>12.53064<>11.13835<>14.85113<>23.20489<>27.84587<>41.3047<>55.22763<>90.03497<>117.8808<>147.119<>187.9596<>225.5515<>267.3203
33,3,S3I-201,6.497369<>5.105075<>5.569173<>4.640978<>5.569173<>4.640978<>5.569173<>2.784587<>3.712782<>3.248684<>7.889662<>11.60244<>9.746053<>15.31523<>19.49211<>22.74079<>30.16636<>41.7688<>64.04549<>89.10677<>134.5883<>173.5726<>205.5953<>246.4359<>279.851
